iter	Passed	Remaining
865	18302	2831
866	18321	2810
867	18339	2788
868	18359	2767
869	18381	2746
870	18403	2725
871	18421	2704
872	18442	2682
873	18461	2661
874	18477	2639
875	18495	2618
876	18512	2596
877	18533	2575
878	18553	2554
879	18569	2532
880	18589	2510
881	18606	2489
882	18630	2468
883	18663	2449
884	18684	2427
885	18704	2406
886	18727	2385
887	18746	2364
888	18764	2342
889	18782	2321
890	18798	2299
891	18817	2278
892	18835	2256
893	18855	2235
894	18875	2214
895	18896	2193
896	18916	2172
897	18942	2151
898	18965	2130
899	18985	2109
900	19012	2089
901	19035	2068
902	19054	2046
903	19075	2025
904	19097	2004
905	19114	1983
906	19134	1961
907	19152	1940
908	19171	1919
909	19191	1898
910	19213	1877
911	19234	1855
912	19255	1834
913	19277	1813
914	19302	1793
915	19322	1771
916	19341	1750
917	19361	1729
918	19380	1708
919	19402	1687
920	19423	1666
921	19443	1644
922	19464	1623
923	19483	1602
924	19502	1581
925	19522	1560
926	19542	1538
927	19563	1517
928	19582	1496
929	19600	1475
930	19619	1454
931	19639	1432
932	19661	1411
933	19678	1390
934	19697	1369
935	19713	1347
936	19732	1326
937	19753	1305
938	19780	1285
939	19802	1263
940	19819	1242
941	19840	1221
942	19863	1200
943	19883	1179
944	19903	1158
945	19923	1137
946	19943	1116
947	19961	1094
948	19979	1073
949	19996	1052
950	20014	1031
951	20034	1010
952	20053	988
953	20075	968
954	20097	946
955	20116	925
956	20140	904
957	20157	883
958	20175	862
959	20193	841
960	20211	820
961	20228	799
962	20252	778
963	20274	757
964	20294	736
965	20314	715
966	20335	693
967	20354	672
968	20372	651
969	20391	630
970	20410	609
971	20429	588
972	20448	567
973	20468	546
974	20485	525
975	20504	504
976	20524	483
977	20544	462
978	20566	441
979	20588	420
980	20608	399
981	20625	378
982	20644	357
983	20665	336
984	20684	314
985	20703	293
986	20723	272
987	20745	251
988	20763	230
989	20782	209
990	20801	188
991	20818	167
992	20838	146
993	20856	125
994	20875	104
995	20894	83
996	20912	62
997	20931	41
998	20951	20
999	20974	0
